,sents,labels
0,二百五十一; 九百七十三,1
415,六百十八; 百八十七,0
416,七百十五; 十三,0
417,二百七十三; 三百二十,1
418,三百九十七; 四,0
419,五百八十八; 百二十七,0
420,四百二十一; 四十,0
421,六百八十五; 五百八十八,0
422,五百六十六; 四百九十六,0
423,七百五十八; 四百二十四,0
424,二百七十四; 三十一,0
425,七百七十一; 六百七十一,0
426,七十; 三百十五,1
427,八百六十; 六百二十四,0
428,十七; 八百四十四,1
429,三十七; 百六,1
430,二十一; 五百七十九,1
431,四; 五百三十一,1
432,二百六; 八百二十八,1
433,七百五十六; 百八十,0
434,六百六十; 六百三十五,0
435,七百三十七; 百五十三,0
436,四百; 四百七十八,1
437,二百七十一; 六百六十三,1
438,九百六十五; 七百十三,0
439,二十六; 七百十七,1
440,百三十七; 九百四十八,1
441,二百五十四; 三百五十七,1
442,四百十六; 二百十二,0
443,七百二十六; 二百八十五,0
444,八百二十二; 八百十四,0
445,六百五十二; 六百九十八,1
446,四十八; 四百二十,1
447,二百九十一; 八百九十,1
448,二百五十五; 六百八十九,1
449,四百六; 八百六十八,1
450,七百一; 六百二十八,0
451,五百五十一; 五百四,0
452,七百二十八; 三百八十九,0
453,七百二十二; 八百三十二,1
454,七百九十八; 九百三十八,1
455,百九十一; 七百六十八,1
456,五十二; 八百六十,1
457,二百九十五; 百四十七,0
458,九; 六十六,1
459,四百三十八; 二百九十二,0
460,二百三十六; 五百九十九,1
461,二百七十三; 四百七十,1
462,三百二十九; 八百六十四,1
463,四百二; 五十,0
464,十四; 五百三十二,1
465,七百二十七; 五百七十三,0
466,四百五十二; 四百二十,0
467,百八十六; 五百二十八,1
468,八十六; 四百三十二,1
469,五百三十九; 八百九十一,1
470,五百八十; 六百九,1
471,九百五十六; 二百二十,0
472,八百四十九; 六百四十一,0
473,八百七十九; 五百二十,0
474,四百八十七; 二百五,0
475,六百九十; 三百七十,0
476,三百四十一; 百二十八,0
477,百五十七; 八百八十七,1
478,六百十; 五百四十四,0
479,五十八; 七百九,1
480,四百十六; 七百九十五,1
481,三百六十七; 八百十二,1
482,四百八十一; 三百五十五,0
483,七百六十七; 百六十九,0
484,六百十七; 九百五十二,1
485,九百四十六; 二百二十三,0
486,七百五十七; 七百五十八,1
487,六百五十七; 六百七十七,1
488,七百八十五; 三百四,0
489,五百二十九; 七百三十一,1
490,九百八十六; 二百八十八,0
491,七百七十一; 九百九十一,1
492,九十三; 八百十二,1
493,七百三十六; 四百八十一,0
494,百八十三; 八百四十六,1
495,七百六十二; 四百十六,0
496,四百八十五; 四百二十一,0
497,百六十六; 百十六,0
498,三百八; 七百十,1
499,五十八; 七十七,1
500,四十三; 九百三十,1
501,四百五十三; 七百八,1
502,四; 五十五,1
503,四百九十九; 九百,1
504,二百七十六; 七百八十七,1
505,四百四十九; 七百七十八,1
506,四百九十; 七百十,1
507,五百七十二; 七百三十,1
508,九百二十九; 七十九,0
509,五百五十; 四百八十七,0
510,二百六十; 六十六,0
511,百九十七; 六百三十,1
512,三百五十七; 七百二十二,1
513,六十七; 四百七十九,1
514,七百十六; 九百四十,1
515,四百二十; 百二十五,0
516,八百三十五; 五百二十三,0
517,九百一; 六十七,0
518,四百八十七; 百九十二,0
519,九百二十八; 百六,0
520,五百四十一; 八十一,0
521,八百八; 三百八十六,0
522,三百四十八; 百六,0
523,八百六十四; 四百八十六,0
524,五百九十四; 二百八十六,0
525,百五十八; 七百三十四,1
526,三百八十五; 八十七,0
527,二百十六; 七百六十三,1
528,七百八十; 八百八十一,1
529,八百三十六; 九百八十,1
530,六百九十七; 七百六十六,1
531,三十三; 六百六十五,1
532,四百二十三; 七百四十八,1
533,八十九; 三百八十六,1
534,三百九十九; 二百六十五,0
535,四百八十一; 六百二十八,1
536,四百八十六; 六百八十一,1
537,三百四十八; 三百五十,1
538,四百六十五; 九百二十五,1
539,六十一; 五百三十二,1
540,七百十五; 七百九十六,1
541,六百四; 三百六十五,0
542,五百九十三; 三百五十四,0
543,八百十八; 九百五十八,1
544,八十七; 三百八十,1
545,四百七; 百八十七,0
546,九百十九; 六百三十六,0
547,九百八十八; 二百八十五,0
548,七百七十六; 百八十六,0
549,四百十四; 九百二十七,1
550,三十九; 三百四十三,1
551,七百六十九; 三百八十二,0
552,七百七十四; 七百四十一,0
553,五百八; 百八十,0
554,百三十八; 六百四,1
555,九百四十三; 七百二十九,0
556,四百三十四; 三百五十二,0
557,八百九十六; 六百七十六,0
558,百六; 二百六十六,1
559,三百九十六; 八百十二,1
560,四百三十五; 二百五十四,0
561,五百二十三; 九百六,1
562,四十六; 三百七十一,1
563,百六十五; 六百六十二,1
564,百六; 百二十五,1
565,三百七十六; 四十二,0
566,二百五十九; 千,1
567,八百八十一; 六百七十四,0
568,六百八十七; 五百九十,0
569,三百二十七; 二百四十,0
570,七百三; 二百七十六,0
571,百五十三; 六百四十,1
572,七百七十五; 七百七十八,1
573,二百二十三; 五百二十,1
574,九百五十六; 三百五十三,0
575,五百二; 五百二十四,1
576,二百九十三; 百五十八,0
577,四百六十; 七百八十一,1
578,六百六十九; 三百五十七,0
579,六百六十一; 七百六十一,1
580,三百七十六; 五百七十九,1
581,九百五十四; 三百五十七,0
582,八百四十四; 九百三十七,1
583,三百九十四; 八百九十四,1
584,二百十一; 六十七,0
585,三百五十七; 七百七十八,1
586,十八; 三百六十四,1
587,三百七十; 五百九十九,1
588,八百五十七; 六百十一,0
589,五十四; 五百四十一,1
590,二百五十四; 六百二十五,1
591,七百三十; 二百,0
592,三百二十八; 二百五十四,0
593,七百十二; 二百二十六,0
594,九百四十; 七百六十五,0
595,二百四十九; 四百三十七,1
596,三百四十八; 八百十五,1
597,九十三; 二十八,0
598,三百五十一; 八百九十四,1
599,九百二十七; 百八十三,0
600,八百三十一; 五百五十四,0
601,百四十一; 八百九十,1
602,八百七十三; 七百七十九,0
603,四百七十六; 三百四十一,0
604,百二十; 二百三十五,1
605,三百七十六; 二百七十六,0
606,四百四十七; 八百五十一,1
607,七百二十三; 百二十二,0
608,五百三十二; 九百二十三,1
609,五百五; 四百五十一,0
610,二百九十四; 七百八十一,1
611,二百五十八; 二百十三,0
612,五十三; 六百七十二,1
613,四百四十; 九百五十三,1
614,九百六; 八百十一,0
615,三百二十一; 九百十四,1
616,十五; 百九,1
617,九百五十一; 七百六十,0
618,百八十; 七百十七,1
619,六百七十一; 五百三十一,0
620,六百八十一; 三百七十四,0
621,三百三十八; 百四十二,0
622,二百九十八; 百二十九,0
623,八百八十五; 二百六十一,0
624,四百二十五; 五百六十五,1
625,七百四十五; 三百六十一,0
626,四百五十; 八百三,1
627,三百六十五; 三百四十九,0
628,六百十; 二百七,0
629,四百二; 七百二十八,1
630,五百三十八; 百四十七,0
631,七百六十五; 六百十三,0
632,三百三; 五百二十六,1
633,七百九十五; 三百五,0
634,八百五十八; 七百三十八,0
635,七百二十二; 七十五,0
636,三十; 六百三十二,1
637,四百四十四; 四百五十一,1
638,四百四十七; 五百七十六,1
639,二百八十三; 五百九十四,1
640,四百四十九; 五百六十七,1
641,六百六十九; 八百五十三,1
642,二百十七; 百十六,0
643,六百三十; 五百九,0
644,五百五十三; 九百十七,1
645,三百三十一; 八十三,0
646,六十一; 五百三十二,1
647,七百六十五; 四百二十,0
648,六百七十三; 五百四十七,0
649,四百四十三; 六百五十六,1
650,七百七; 三百六十五,0
651,七百五十九; 五十九,0
652,四百五十一; 百三十五,0
653,四百三十七; 九百二十五,1
654,二百四十二; 百二十八,0
655,三百七十六; 二百八十四,0
656,三百三十九; 六百八十四,1
657,四百九十九; 三百三十七,0
658,五百七十八; 三百四十八,0
659,二百九十六; 二百九十二,0
660,五十四; 十五,0
661,八百五十六; 五百九十一,0
662,八百四十四; 八百八十,1
663,四百七十七; 四百三十三,0
664,八百六十二; 四百八十三,0
665,九百九十九; 七百二十二,0
666,五百二十三; 八百八十九,1
667,百七十八; 三百六十五,1
668,七百六十二; 百八十九,0
669,六百二十九; 二百十六,0
670,四百三十八; 三百三十九,0
671,三百五十三; 百六十二,0
672,六百三十六; 三百二十八,0
673,百十七; 百二十,1
674,四百二; 二百三十四,0
675,百三; 百八十六,1
676,七百四十七; 四十二,0
677,七百十五; 二百九十五,0
678,五百八十九; 八十八,0
679,九百九十四; 五百十一,0
680,九百七十七; 五百六十二,0
681,三百十八; 九百三十八,1
682,二百三十; 七百二十八,1
683,七百六十; 九百四十七,1
684,百七十三; 八百九十八,1
685,七百六十七; 九百六十四,1
686,二百五; 八百四十七,1
687,四百六十七; 八百六十四,1
688,二百九十二; 百九十,0
689,十二; 五百五十四,1
690,五百九十一; 五百九十四,1
691,百七十九; 四十二,0
692,八百九十七; 二百四十,0
693,三百五十八; 六百九十四,1
694,二百十六; 二百八十四,1
695,九百四十三; 八百十三,0
696,三百八十; 二十八,0
697,九百九十三; 八百二十七,0
698,二百二十三; 三百五,1
699,百六十七; 四百六十五,1
700,六百六十五; 四百八十三,0
701,三百二十三; 七十二,0
702,六十三; 三百七十一,1
703,五百四十一; 五百十九,0
704,八百一; 五百七十二,0
705,六百十四; 百三十二,0
706,五百十; 六百十六,1
707,七百九; 四百八十九,0
708,五百四十四; 百八十二,0
709,二百二十; 四百六十七,1
710,五百二十七; 七百四,1
711,九百五十七; 四百四,0
712,九百四; 百四十一,0
713,六百五十四; 二百七十四,0
714,三百十六; 九百六十五,1
715,百七十九; 六百三十三,1
716,七百二十五; 七百八,0
717,二百十五; 二百十四,0
718,七百五十四; 三百三,0
719,五百八十四; 七百八十三,1
720,四百九十四; 六百八十二,1
721,八百九十八; 五十三,0
722,八百六十; 六百十八,0
723,八百二; 八百六十八,1
724,三百四; 四百六十八,1
725,二百八十四; 四百七十一,1
726,五百九十九; 四百四十一,0
727,九百四十四; 八百三,0
728,六百九十二; 六百九十四,1
729,三百五十九; 十四,0
730,六十九; 百五,1
731,百九十; 七十三,0
732,六百五十一; 七百四十八,1
733,四百九十七; 二百七十五,0
734,八百十一; 五十八,0
735,四百六十一; 九百三,1
736,二百五十八; 百三十八,0
737,九百五; 九百六十九,1
738,七百三十六; 七百八十五,1
739,九百五十九; 九百十二,0
740,五十五; 三十五,0
741,九百七十二; 八百十七,0
742,六百三十一; 八十五,0
743,九百四十; 百七十九,0
744,五百六; 二百,0
745,三百五十八; 百六十二,0
746,七百八十三; 九百二十五,1
747,四百五十五; 三百九十九,0
748,七百九十五; 七百六十二,0
749,三百七十五; 四百十八,1
750,九百五十七; 五百九十三,0
751,六十四; 三百四十四,1
752,三百四十九; 二百四十,0
753,八百九; 七百八十三,0
754,八百二十三; 八百四十五,1
755,七百八十一; 十五,0
756,六百九十; 七百二十八,1
757,八百四十五; 五十六,0
758,六百八十四; 百九十六,0
759,百十四; 四百六十五,1
760,六百九十四; 八百七十二,1
761,三百五十二; 六百六十三,1
762,七; 七百五十三,1
763,四百二十七; 百六十七,0
764,七百五十三; 三百十五,0
765,五百六十四; 六十一,0
766,三百十六; 五百三十一,1
767,九百二十七; 二百三十七,0
768,百六十五; 三百六十七,1
769,五百二十九; 五百三十二,1
770,百五十九; 五百二十三,1
771,二百四十三; 三百七十九,1
772,六百二十七; 六百八十六,1
773,二百; 九百四十六,1
774,五百八十四; 四百十二,0
775,六百八十七; 四百八十二,0
776,九百十五; 八百十二,0
777,五百四十四; 九百六十八,1
778,百四十一; 九百七十七,1
779,二十八; 六百八十,1
780,八百六十九; 二十二,0
781,百四; 七百六十九,1
782,四百二十六; 四百九,0
783,六百八十五; 九十四,0
784,八百七十一; 九百八十七,1
785,三百十; 二百十五,0
786,二百七十四; 三百八十七,1
787,七十二; 三百三十五,1
788,四十四; 四百六十四,1
789,百六十九; 五百九十五,1
790,百二十六; 二百九十一,1
791,八百十; 五百七十四,0
792,二百八十; 五百三十八,1
793,二百四十一; 二百九十八,1
794,八百七十六; 五百十七,0
795,六百七十四; 八百九十,1
796,五十六; 九百十一,1
797,四百十二; 五十,0
798,四百八十; 百三十一,0
799,八百四十; 九百十六,1
800,三百八十六; 五百十二,1
801,八十九; 三百五十三,1
802,四百八十六; 二百五十九,0
803,三百九十三; 三百九十七,1
804,百五十四; 七百七十,1
805,二百六十一; 四百四十五,1
806,四百八十六; 六百五,1
807,六百七十七; 四百九十,0
808,二百三十四; 四百十八,1
809,九百六十; 七百二,0
810,二百六十三; 七百三十三,1
811,二百七十三; 四百七十二,1
812,百五十七; 六百五十一,1
813,三百五十九; 二百八十五,0
814,四百七十五; 二百七十三,0
815,十; 五百七十二,1
816,三百六十九; 六十三,0
817,五百三; 九百三十八,1
818,二百三十一; 五百二十五,1
819,五百五十六; 七百六十三,1
820,九百八十五; 四百四十六,0
821,六百九十四; 八百六十五,1
822,五百七十七; 九十五,0
823,四百六十一; 五百九十二,1
824,九百九十九; 二百五十八,0
825,四百九; 百九十九,0
826,六百五十四; 七百五十六,1
827,六百四十七; 九百三十四,1
828,九百九十; 八百六十一,0
829,四百五十; 八百七十四,1
830,八百五十八; 四百八十一,0
831,九百五十二; 三百四十九,0
832,六百十四; 百四十七,0
833,百八十一; 九百三十二,1
834,九百六十; 五百八十二,0
835,四百九十二; 六百一,1
836,四百九十四; 四百三十八,0
837,四百六十六; 二百五十五,0
838,八百八十三; 九百二十二,1
839,四百八十二; 四百五十六,0
840,三百七十七; 八百五十五,1
841,九百七十六; 七百三十九,0
842,二百八十八; 七十三,0
843,百三十八; 七百五十六,1
844,百六十三; 九百七十六,1
845,八百九十五; 七百五十四,0
846,百八十三; 六百七十八,1
847,六百八; 九百六十三,1
848,四百二十三; 七百九十五,1
849,五百六; 七十二,0
850,九百三十六; 七百五十六,0
851,五百九十四; 百十八,0
852,六百二十七; 五百八十一,0
853,六百八十八; 九百九十,1
854,七百七十七; 五百七十三,0
855,五百九十; 八百五十四,1
856,九百十; 七百五十三,0
857,二百六十五; 八百,1
858,四百六十; 四百二十五,0
859,三百四十一; 三百三十八,0
860,六百六十八; 百七十三,0
861,百七十一; 百三十,0
862,三百九十九; 二百十一,0
863,五百五十三; 百七十七,0
864,三十八; 七百五十六,1
865,四百一; 二十二,0
866,五百九十四; 七百八十四,1
867,三百一; 九百十六,1
868,四百五十九; 三百二十二,0
869,四百六十二; 八百二十七,1
870,四百八十三; 二百四十六,0
871,四百八十六; 六百八十九,1
872,九百九十九; 三百六十八,0
873,三百九十三; 八百九,1
874,八百五十四; 九十九,0
875,四百六十三; 三百九十八,0
876,七百五十二; 六百三十六,0
877,四百三十四; 九十二,0
878,七百三十一; 二百二十六,0
879,百三十九; 五百九十四,1
880,八百九十九; 三百三十四,0
881,六十七; 六百五,1
882,三百二十七; 百九十四,0
883,二十三; 九百七十,1
884,七百六十三; 二百三十,0
885,四百八十三; 七百二十四,1
886,九十八; 六百四,1
887,三百七十; 二百六十三,0
888,五百十五; 二百八十一,0
889,二百; 七百三十四,1
890,五百十四; 四百六十六,0
891,六百十六; 五十七,0
