,sents,labels
0,huit cent soixante douze; trois cent quarante huit,0
47,deux cent douze; huit cent cinquante huit,1
48,six cent quatre vingt trois; huit cent dix huit,1
49,cinq cent soixante et un; six cent trente deux,1
50,quatre cent huit; huit cent cinquante neuf,1
51,cent quatre; cent soixante et onze,1
52,quatre vingt un; cent cinquante huit,1
53,cinquante; trois cent dix neuf,1
54,trois cent cinquante huit; cinq cent dix huit,1
55,huit cent quarante trois; neuf cent vingt cinq,1
56,trois cent quarante six; quatre cent cinquante deux,1
57,deux cent vingt huit; sept cent vingt huit,1
58,sept cent quinze; quatre vingt neuf,0
59,six cent un; sept cent quarante neuf,1
60,neuf cent quatre vingt trois; quarante deux,0
61,cent cinquante six; quatre cent douze,1
62,six cent quatre vingt onze; six cent quinze,0
63,neuf cent soixante six; quatre cent quatre vingt un,0
64,sept cent quarante; quatre cent soixante seize,0
65,cinquante huit; neuf cent cinq,1
66,quatre cent quarante six; neuf cent vingt neuf,1
67,six cent vingt; cent quatre vingt quatorze,0
68,neuf cent soixante six; deux cent vingt cinq,0
69,quatre cent soixante douze; cinq cent soixante douze,1
70,neuf cent trente huit; cent cinquante sept,0
71,deux cent soixante; neuf cent trente deux,1
72,sept cents; neuf cent quatre vingts,1
73,six cent soixante deux; deux cent quatre vingt six,0
74,soixante deux; six cent soixante dix huit,1
75,quatre cent soixante douze; cinq cent dix neuf,1
76,cinq cent quatorze; six cent trente et un,1
77,cinquante quatre; quatre vingt trois,1
78,six cents; huit cent soixante et onze,1
79,cent quinze; deux cent trente quatre,1
80,huit cent trente six; deux cent soixante dix,0
81,quatre cent quarante trois; deux cent soixante douze,0
82,deux cent quinze; cent quatre vingt onze,0
83,trois cent quatre vingt trois; cent douze,0
84,deux cent six; quatre cent seize,1
85,huit cent cinquante cinq; quarante deux,0
86,trois cent cinquante quatre; quarante deux,0
87,neuf cent vingt et un; cinq cent quatre vingt sept,0
88,cinq cent soixante; sept cent dix neuf,1
89,six cent cinquante huit; deux cent quatre vingt dix,0
90,deux cent cinq; quatre cent quarante sept,1
91,cinq cent quarante cinq; sept cent quatre vingt trois,1
92,huit cent quarante neuf; huit cent soixante quatorze,1
93,cent cinquante cinq; huit cent soixante six,1
94,quatre cent cinquante six; cent quatre vingt quinze,0
95,huit cent vingt huit; cinquante sept,0
96,quatre vingt sept; neuf cent quatre vingt neuf,1
97,quatre cent quatre vingt neuf; cinq cent quarante quatre,1
98,deux cent quatre vingt quatorze; cent sept,0
99,deux; cent quarante sept,1
100,cent cinquante neuf; trente trois,0
101,sept cent quatre vingt dix; sept cent trente huit,0
102,huit cent quarante six; quatre cent quarante trois,0
103,neuf cent soixante treize; quatre cent soixante et onze,0
104,cent quatre vingt deux; cinq cent quatre vingt quatre,1
105,quatre cent vingt trois; quatre cent soixante six,1
106,neuf cent cinquante et un; cent soixante huit,0
107,trois cent soixante quatre; trois cent cinquante six,0
108,cent soixante dix neuf; cent cinquante quatre,0
109,quatre cent vingt; trois cent soixante six,0
110,quatre cent vingt huit; deux cent quarante deux,0
111,cinq cents; trois cent trois,0
112,trois cent trois; trois cent soixante dix neuf,1
113,cent trente huit; deux cent onze,1
114,quatre cent quatre vingt dix neuf; neuf cent onze,1
115,deux cent quatre vingt seize; six cent soixante et onze,1
116,sept cent quatre vingt six; sept cent quatre vingt quinze,1
117,vingt huit; huit cent trente trois,1
118,huit cent soixante quinze; six cent cinquante cinq,0
119,trois cent soixante neuf; cent quarante sept,0
120,deux cent quarante quatre; huit cent cinquante neuf,1
121,soixante quatorze; quinze,0
122,deux cent soixante sept; sept cent vingt cinq,1
123,cent; quatre cent dix sept,1
124,cent vingt et un; trois cent trente cinq,1
125,six cent cinquante quatre; deux cent soixante quinze,0
126,cinq cent soixante douze; huit cent quarante trois,1
127,neuf cent six; huit cent vingt cinq,0
128,sept cent soixante quatorze; cent douze,0
129,cinq cent trente trois; trois cent cinq,0
130,trois cent quatre vingt huit; six cent soixante trois,1
131,cinquante; quatre cent soixante seize,1
132,soixante seize; six cent soixante trois,1
133,cent neuf; cent cinquante deux,1
134,trois cent cinquante trois; quarante six,0
135,quatre cent trois; trois cent dix sept,0
136,six cent soixante sept; neuf cents,1
137,trois cent quarante deux; quatre cent quatre vingt quatorze,1
138,vingt trois; sept cent trois,1
139,neuf cent cinquante six; trois cent quarante six,0
140,huit cent soixante huit; trois cent quatre vingt sept,0
141,neuf cent quatre vingt onze; huit cent un,0
142,trois cent soixante treize; soixante dix,0
143,trois cent soixante neuf; cinq cent soixante neuf,1
144,huit cent vingt sept; six cent quatre vingt treize,0
145,deux cent quatre vingt seize; cinq cent treize,1
146,quatre vingt deux; neuf cent vingt six,1
147,cent cinquante sept; quatre cent quarante cinq,1
148,huit cent soixante dix huit; sept cent quinze,0
149,huit cent deux; six cent vingt cinq,0
150,douze; quatre cent vingt,1
151,neuf cent cinquante; cinq cent sept,0
152,huit cent trente; six cent quatre vingt quatorze,0
153,trois cent deux; soixante quinze,0
154,neuf cent cinquante; neuf cent quatre vingt cinq,1
155,neuf cent neuf; sept cent quatre vingt quatorze,0
156,cinq cent soixante dix neuf; six cent quatre vingt six,1
157,deux cent cinquante; cinq cent soixante seize,1
158,quatre cent soixante quinze; quatre cent quatre vingt dix huit,1
159,cinq cent cinquante neuf; cent soixante neuf,0
160,cinq cent trente sept; neuf cent quarante quatre,1
161,cinquante six; deux cent soixante huit,1
162,cinq cent quarante huit; quatre cent trente,0
163,cinq cent quatre vingt dix; cent vingt deux,0
164,dix huit; cent quarante trois,1
165,sept cent soixante trois; huit cent un,1
166,cent quatre vingt douze; neuf cent cinq,1
167,soixante treize; quatre cent soixante sept,1
168,trois cent quarante deux; quinze,0
169,neuf cent soixante cinq; neuf cent quatre vingt cinq,1
170,deux cent soixante sept; quatre cent soixante et un,1
171,neuf cent quarante et un; quatre cent soixante trois,0
172,cent seize; cinq cent soixante seize,1
173,vingt huit; six cent quarante six,1
174,deux cent trente cinq; trois cent cinquante neuf,1
175,six cent quatre vingt huit; trois cent quarante six,0
176,huit cent vingt huit; cent trente six,0
177,neuf cent trente six; neuf cent onze,0
178,quatre cent quatre vingt onze; quatre cent quatre vingts,0
179,cent quatre vingt onze; six cent soixante douze,1
180,cent cinquante deux; huit cents,1
181,deux cent soixante quatre; quatre cent soixante et un,1
182,cinq cent onze; huit cent un,1
183,cent vingt et un; trois cent six,1
184,trois cent trente deux; huit cent quarante neuf,1
185,sept cent soixante sept; cinq cent soixante trois,0
186,cinq cent quarante; six cent quarante quatre,1
187,quatre cent vingt deux; trente neuf,0
188,six cent trente sept; sept cent soixante cinq,1
189,cinq; six cent quatre vingt cinq,1
190,six cent quarante quatre; huit cent trente,1
191,six cent cinquante; cent vingt huit,0
192,six cent quatre vingt seize; trente,0
193,cent quatre vingt huit; soixante dix sept,0
194,soixante et un; quatre cent quatre vingt neuf,1
195,cinq cent quatre vingts; six cent quatre vingt quatorze,1
196,cinq cent trois; quatre cent six,0
197,cent soixante quinze; huit cent trente cinq,1
198,six cent seize; quarante cinq,0
199,deux cent soixante douze; six cent soixante et onze,1
200,neuf cent quatre vingt quatre; six cent soixante dix huit,0
201,quatre cent quatre vingt onze; six cent quatre vingt quatre,1
202,deux cent quarante neuf; sept cent quarante six,1
203,neuf cent quarante quatre; sept cent cinquante huit,0
204,deux cent huit; sept cent soixante trois,1
205,cent quatre vingt neuf; deux cent quatre vingt dix neuf,1
206,quatre cent douze; deux cent soixante et onze,0
207,sept cent cinquante quatre; quatre cent cinquante sept,0
208,sept cent trente trois; deux cent quatre vingt deux,0
209,sept cent quarante six; deux cent quatre vingt dix sept,0
210,neuf cent soixante quinze; cent vingt deux,0
211,trois cent soixante dix huit; six cent quatre vingt sept,1
212,neuf cent soixante sept; six cent vingt six,0
213,deux cent soixante seize; deux,0
214,six cent dix neuf; six cent quatre vingt trois,1
215,trois cents; neuf cent quatre vingt onze,1
216,deux cent seize; six cent soixante et un,1
217,cent dix neuf; sept cent dix,1
218,six cent soixante dix; cent quatre vingt cinq,0
219,deux cent quarante huit; cent quatre vingt trois,0
220,deux cent soixante dix sept; trois cent vingt neuf,1
221,sept cent quatre vingt onze; cinq cent quinze,0
222,quatre cent soixante quatorze; deux cent vingt cinq,0
223,six cent quatre vingt trois; cinq cent trente deux,0
224,cinquante; trois cent soixante et onze,1
225,sept cent quatre vingts; huit cent quarante huit,1
226,neuf cent vingt sept; sept cent vingt deux,0
227,neuf cent soixante dix huit; huit cent trente,0
228,quatre cent quatre vingt quatre; cinquante deux,0
229,deux cent vingt et un; huit cent cinquante neuf,1
230,six cent cinquante sept; deux cent quatre vingt quinze,0
231,six cent quatre vingt quinze; neuf cent quarante neuf,1
232,deux cent quatorze; trois cent vingt deux,1
233,cent soixante six; quatre cent vingt neuf,1
234,quatre cent trente huit; cinq cent quatre vingt douze,1
235,neuf cent seize; sept cent quatre vingt dix neuf,0
236,deux cent trente huit; cinq cent trois,1
237,neuf cent onze; neuf cent soixante quatre,1
238,cent soixante dix; neuf cent trente trois,1
239,trois cent sept; deux cent quatre vingt treize,0
240,cent soixante six; quarante et un,0
241,cent quatre vingt seize; deux cent quatre vingt six,1
242,huit cent trente; cent quatre vingt quatre,0
243,six cent quatre vingt douze; huit cent soixante huit,1
244,cent cinquante; cinquante cinq,0
245,six cent seize; quatre cent quatre vingt treize,0
246,sept cent soixante six; quatre cent soixante seize,0
247,deux cent dix; deux cent trente,1
248,cent soixante treize; cinq cent trente deux,1
249,six cent quatre vingt cinq; sept cent cinquante quatre,1
250,six cent vingt six; trois cent quarante quatre,0
251,neuf cent quarante quatre; cent dix huit,0
252,quatre cent soixante sept; neuf cent trente,1
253,cinq cent quatre vingt huit; neuf cent vingt et un,1
254,huit cent cinquante deux; cinq cent trente six,0
255,neuf cent quatre vingt neuf; cinq cent soixante six,0
256,neuf cent soixante et onze; cinq,0
257,sept cent six; cinq cent soixante quatre,0
258,trois cent quarante huit; deux cent quarante,0
259,cinq cent trente et un; huit cent soixante trois,1
260,deux cent dix; sept cent trois,1
261,neuf cent quatre vingt neuf; huit cent soixante quatre,0
262,cinq cent deux; six cent soixante huit,1
263,cinquante et un; neuf cent soixante quinze,1
264,trois cent neuf; quatre cent cinquante quatre,1
265,neuf cent cinq; cent quarante neuf,0
266,trois cent quatre vingt dix neuf; cinq cent quarante six,1
267,six cent quatre vingt douze; neuf cent trente trois,1
268,trois cents; huit cent quatre vingt dix sept,1
269,deux cent soixante quatorze; neuf cent cinquante trois,1
270,cinq cent soixante sept; quarante quatre,0
271,six cent cinquante cinq; dix huit,0
272,trente quatre; quatre cent trente et un,1
273,sept cent trente et un; sept cent douze,0
274,sept cent quatorze; quatre cent soixante trois,0
275,huit cent soixante trois; trois cent treize,0
276,cinq cent soixante treize; deux cent quinze,0
277,six cent soixante huit; sept cent soixante dix,1
278,huit cent quatre vingts; huit cent cinquante neuf,0
279,neuf cent quatre vingt dix; quatre cent huit,0
280,neuf cent vingt six; trois cent quatre vingts,0
281,cent quatre vingt treize; deux cent trente sept,1
282,huit cent vingt sept; huit cent trente huit,1
283,deux cent quatre vingt cinq; cent huit,0
284,six cent quatre vingt sept; huit cent soixante quatorze,1
285,sept cent quatre vingt dix huit; quatre cent quatre vingt huit,0
286,neuf cent soixante huit; deux cent trente quatre,0
287,huit cent quatre vingt cinq; deux cent quatre vingt treize,0
288,trente trois; six cent trente neuf,1
289,deux cent soixante trois; sept cent quatre vingt seize,1
290,cinq cent soixante quinze; six cent quarante trois,1
291,trois cents; trois cent vingt sept,1
292,soixante douze; cent dix sept,1
293,sept cent trente six; neuf cent soixante quinze,1
294,neuf cent quatre vingt treize; trois cent soixante dix huit,0
295,sept cent cinquante et un; cinq cent cinquante,0
296,cent soixante treize; deux cent quarante cinq,1
297,trois cent soixante deux; neuf cent soixante quatorze,1
298,six cent soixante et un; deux cent quatre vingt quinze,0
299,six cent trente deux; cinq cent soixante seize,0
300,cent quarante deux; neuf cent soixante quinze,1
301,huit cent onze; huit cent quatre vingt dix sept,1
302,trois cent soixante et onze; douze,0
303,cent trente et un; quatre vingt seize,0
304,huit cent soixante et un; cinq cent quinze,0
305,sept cent quatre vingt cinq; quatre vingt dix,0
306,six cent quatre vingt six; trois cent vingt trois,0
307,six cent soixante et onze; neuf cent quatre vingt douze,1
308,quatre cent quatre vingt sept; huit cent vingt six,1
309,trois cent quarante neuf; deux cent neuf,0
310,huit cent quatre vingt treize; cent douze,0
311,cent soixante seize; huit cent un,1
312,sept cent cinquante et un; cent quarante neuf,0
313,trois cent soixante treize; deux cent cinq,0
314,cent quarante huit; six cent six,1
315,sept cent quarante neuf; neuf cent quatre vingts,1
316,deux cent quatre vingts; trois cent trois,1
317,quatre cent quatre vingt quatorze; neuf cent un,1
318,trois cent cinquante et un; huit cent trente quatre,1
319,trois cent dix sept; six cent onze,1
320,sept cent soixante six; quatre cent cinquante sept,0
321,soixante six; cent quatre vingt onze,1
322,six cent soixante dix; quatre cent quatre vingt deux,0
323,neuf cent soixante dix neuf; deux cent quatre vingt cinq,0
324,neuf cent trente et un; sept cent soixante cinq,0
325,six cent un; trois cent quatre vingt quatorze,0
326,quatre cent dix neuf; trois cent soixante douze,0
327,quatre cent deux; huit cent soixante,1
328,quatre cent trois; sept cent soixante sept,1
329,sept cent quarante trois; neuf cent cinquante cinq,1
330,neuf cent quarante neuf; cent cinquante neuf,0
331,cent quarante trois; cinq cent quatre vingt treize,1
332,cinq cent vingt sept; neuf cent douze,1
333,cinq cent treize; sept cent douze,1
334,soixante et un; sept cent soixante huit,1
335,cinq cent cinquante huit; trois cent soixante et onze,0
336,deux cent quarante quatre; deux cent cinquante,1
337,neuf cent cinquante; sept cent vingt deux,0
338,sept cent vingt huit; cent soixante dix,0
339,trois cent quarante deux; neuf cent soixante dix sept,1
340,cent vingt; six cent treize,1
341,deux cent trente et un; six cent quatre vingt quatre,1
342,huit cent vingt huit; six cent quatre vingt dix neuf,0
343,deux cent soixante quinze; quatre cent vingt trois,1
344,sept cent quarante deux; cent quarante deux,0
345,deux cent soixante treize; quatre cent cinquante deux,1
346,deux cent trente huit; trois cent quatre vingts,1
347,cent vingt; quatre cent quatre vingt sept,1
348,soixante deux; sept cent quatre vingt huit,1
349,sept cent quarante deux; trois cent quatre vingt dix huit,0
350,dix neuf; trois cent trente huit,1
351,neuf cent soixante neuf; deux cent cinquante trois,0
352,deux cent vingt trois; deux cent cinq,0
353,six cent soixante dix huit; quatre cent soixante et un,0
354,trois cent trente; trois cent quatre vingt deux,1
355,six cent neuf; cent sept,0
356,huit cent treize; soixante deux,0
357,trois cent quatre vingt douze; six cent quarante sept,1
358,dix huit; deux cent trente deux,1
359,cinq; cinq cent onze,1
360,deux cent un; quatre cent cinquante deux,1
361,cent cinquante; deux cent cinquante sept,1
362,huit cent quatre vingt dix neuf; trente trois,0
363,huit cent quatre vingt sept; deux cent quinze,0
364,cent soixante huit; neuf cent cinquante six,1
365,cinq cent douze; quatre cent seize,0
366,cent soixante deux; sept cent quarante et un,1
367,cinq cent cinquante six; huit cent cinquante,1
368,huit cent deux; huit cent quatre vingts,1
369,cinquante six; douze,0
370,huit cent cinquante et un; huit cent six,0
371,quatre cent dix; sept cent cinquante deux,1
372,quatre cent soixante et un; neuf cent quinze,1
373,deux cent dix; quatre cent soixante quatre,1
374,sept; soixante,1
375,six cent soixante dix neuf; cent onze,0
376,vingt et un; cent trente cinq,1
377,huit cent soixante treize; deux cent soixante neuf,0
378,trois cent cinquante neuf; neuf cent quatre vingt douze,1
379,cent soixante dix sept; quatre cent trente quatre,1
380,quatre cent vingt et un; deux cent cinquante neuf,0
381,cent quinze; cent quarante trois,1
382,sept cent trente sept; soixante seize,0
383,quatre cent soixante neuf; trois cent cinquante cinq,0
384,huit cent trente et un; neuf cent treize,1
385,cent quatre vingt neuf; quatre vingt sept,0
386,cent quarante sept; huit cent quarante neuf,1
387,seize; cinq cent vingt,1
388,sept cent quatre vingt un; deux cent dix sept,0
389,six cent quatre vingt six; deux cent quatre vingt dix neuf,0
390,six cent soixante dix; huit cent vingt et un,1
391,trois cent six; huit cent soixante et un,1
392,neuf cent soixante et un; six cent quatre vingt onze,0
393,cinquante trois; trois cent quatre vingt quinze,1
394,cent soixante quatre; cinquante quatre,0
395,six cent soixante quatre; cent vingt six,0
396,sept cent vingt six; trois cent quarante neuf,0
397,neuf cent vingt huit; quatre cent quatre vingt quatorze,0
398,trois cent quatre vingt sept; six cent quatre vingt sept,1
399,deux cent trente huit; deux cent quarante trois,1
400,six cent dix sept; deux cent soixante six,0
401,trois cent cinquante huit; huit cent cinquante deux,1
402,sept cent quatre vingt quatre; sept cent cinquante neuf,0
403,sept cent soixante dix neuf; huit cent quarante et un,1
404,cinq cent quarante huit; sept cent vingt sept,1
405,trois cent quatorze; deux cent quatre vingt six,0
406,sept cent quatre vingt treize; cent soixante deux,0
407,trois cent quatre vingt huit; trois cent six,0
408,sept cent trente huit; cent trente huit,0
409,neuf cent soixante et un; trois cent trente sept,0
410,trois cent quarante six; trois cent quarante,0
411,deux cent quarante quatre; neuf cent quinze,1
412,trois cent quatre vingt neuf; cent seize,0
413,quatre cent cinquante; neuf cent deux,1
414,sept cent quatre vingt dix sept; deux cent dix huit,0
415,trente six; cent soixante dix,1
416,deux cent soixante quatre; huit cent dix sept,1
417,neuf cent cinq; neuf cent quatre vingt quinze,1
418,neuf cents; quatre cent quatre vingt quatorze,0
419,cinq cent trente trois; six cent trente six,1
420,trois cent quatre vingt quatre; six cent quarante cinq,1
421,sept; cinq cent cinquante sept,1
422,cinq cent treize; neuf cent quatre vingt dix huit,1
423,huit cent huit; deux cent cinquante cinq,0
424,sept cent cinquante trois; neuf cent quatre vingt quatorze,1
425,six cent soixante dix huit; cinq cent soixante cinq,0
426,six cent vingt; quatre cent treize,0
427,trois cent trente neuf; neuf cent quatre vingt dix sept,1
428,six cent quatre vingt seize; huit cent soixante,1
429,six cent quatre vingt sept; trois cent soixante et un,0
430,soixante dix huit; quatre cent quatre vingts,1
431,six cent quatre vingt sept; cent quinze,0
432,huit cent soixante dix; quatre vingt un,0
433,huit cent trente six; trois cent quarante huit,0
434,sept cent quarante deux; sept cent soixante,1
435,trois cent quatre vingt quatre; trois cent quarante trois,0
436,six cent soixante sept; quatre cent quatre vingt huit,0
437,sept cent cinquante et un; neuf cent trente et un,1
438,six cent trente huit; cent soixante dix,0
439,quatre vingt six; cent cinquante neuf,1
440,quatre cent dix neuf; trois cent cinquante deux,0
441,cinquante et un; quatorze,0
442,trente cinq; cent dix neuf,1
443,sept cent douze; cent soixante dix neuf,0
444,cinq cent soixante quatorze; neuf cent quarante huit,1
445,deux cent quatre vingt quatre; quatre cent cinquante,1
446,quatorze; trois cent vingt quatre,1
447,trois cent cinquante deux; cinq cent quatre vingt seize,1
448,sept cent quatre vingt sept; deux cents,0
449,neuf cent trente deux; cent quatre vingt sept,0
450,trois cent quarante six; six cent quatre vingt quatorze,1
451,quarante trois; six cent vingt quatre,1
452,deux cent cinquante neuf; trois cent cinquante huit,1
453,deux cent quarante six; cent vingt cinq,0
454,cinq cent trois; quatre cent treize,0
455,deux cent quatre vingt dix sept; deux cent soixante trois,0
456,quatre cent trente deux; huit cent soixante,1
457,trois cent soixante dix; cinq cent soixante six,1
458,neuf cent quarante neuf; neuf cent soixante cinq,1
459,huit cent six; quatre cent quarante quatre,0
460,cent quatre; trois cent dix huit,1
461,deux cent seize; cent cinquante deux,0
462,sept cent soixante sept; sept cent deux,0
463,cent quatre vingt treize; huit cent vingt cinq,1
464,quatre cent dix neuf; cinq cent soixante dix,1
465,deux cent cinquante deux; deux cent quatre vingt onze,1
466,neuf cent cinquante sept; quatre cent vingt sept,0
467,huit cent vingt huit; vingt quatre,0
468,deux cent quatre vingt cinq; deux cent quatre vingt quatre,0
469,huit cent trente deux; six cent quatre vingt seize,0
470,quatre cent quatre vingt six; sept cent soixante dix,1
471,quatre cent onze; deux cent quatre vingt un,0
472,deux cent cinquante sept; cinq cent quatre vingt dix sept,1
473,cinq cent quatre vingt sept; cinquante deux,0
474,deux cent quatre vingt dix huit; cinq cent quatre vingt huit,1
475,cent; trois cent quatre vingt quinze,1
476,huit cent quatre vingt dix huit; cent quarante neuf,0
477,sept cent cinquante; trois cent soixante dix,0
478,neuf cent quarante neuf; cinq cent trente six,0
479,huit cent cinquante neuf; neuf cent vingt quatre,1
480,deux cent quatre vingt dix sept; six cent soixante,1
481,six cent vingt neuf; six cent soixante seize,1
482,neuf cent soixante dix sept; quatre cent quatre vingt quatre,0
483,huit cent quarante trois; trois cent vingt,0
484,cent quarante et un; cent quarante deux,1
485,quatre cent quatre vingt huit; sept cent trente six,1
486,cent quatorze; quatre vingt dix,0
487,huit cent quatre vingt dix neuf; cent trente trois,0
488,sept cent quarante deux; six cent quatre vingt sept,0
489,quatre cent dix neuf; cent quarante huit,0
490,mille; sept cent soixante quatorze,0
491,sept; cinq cent dix sept,1
492,quatre cent quatre vingt neuf; trois cent quatre vingt dix sept,0
493,quatre cent quatre vingt six; neuf cent quatre vingt quatre,1
494,neuf cent quarante; six cent quatre vingt treize,0
495,sept cent quatre vingt treize; six cent quarante neuf,0
496,cinq cent quatre vingt quinze; six,0
497,quatre vingt trois; six cent cinq,1
498,huit cent soixante cinq; neuf cent quatre vingt six,1
499,cent soixante seize; trente et un,0
500,neuf cent quatre vingt quatorze; cinq cents,0
501,trois cent vingt huit; cent cinq,0
502,sept cent soixante seize; quatre cent soixante neuf,0
503,quatre cent cinquante huit; quatre cent quarante deux,0
504,sept cent soixante et un; huit cent vingt trois,1
505,six cent vingt six; cinq cent cinquante quatre,0
506,neuf cent quarante sept; deux cent vingt sept,0
507,six cent quarante huit; neuf cent soixante quatre,1
508,sept cent soixante douze; cent dix,0
509,cinq cent sept; sept cent quarante six,1
510,six cent quatre vingt treize; sept cent trente huit,1
511,deux cent trois; cent quatre vingt huit,0
512,quatre cent soixante huit; huit cent seize,1
513,sept cent quatre; cinq cent vingt,0
514,sept cent cinquante neuf; huit cent quatre vingt neuf,1
515,huit cent soixante trois; cinquante huit,0
516,sept cent soixante quinze; quatre cent soixante sept,0
517,quatre cent cinquante et un; sept cent soixante dix,1
518,quatre cent quatre vingt huit; cent soixante deux,0
519,neuf cent treize; sept cent huit,0
520,trois cent cinquante huit; trois cent quatre vingt douze,1
521,trois cent trente cinq; sept cent soixante neuf,1
522,quatre cent trente neuf; cent quatre vingt quatorze,0
523,quatre vingt huit; trente et un,0
524,sept cent soixante dix neuf; trente huit,0
525,cent six; soixante quinze,0
526,quatre cent soixante cinq; deux cent vingt huit,0
527,neuf cent un; quatre cent vingt et un,0
528,sept cent trois; quatre cent quarante et un,0
529,trois cent cinquante sept; trois cent dix huit,0
530,quatre cent cinquante et un; huit cent vingt neuf,1
531,six cent quatre vingt treize; six cent cinquante huit,0
532,neuf cent cinquante huit; deux cent trente deux,0
533,sept cent seize; neuf cent onze,1
534,neuf cent soixante cinq; trois cent quatre vingt quinze,0
535,quatre vingt dix sept; cinq cent vingt quatre,1
536,neuf cent soixante seize; cent seize,0
537,trois cent six; trois cent trente sept,1
538,sept cent trente trois; cent vingt trois,0
539,deux cent cinquante; trois cent quarante huit,1
540,huit cent trente trois; trois cent cinquante neuf,0
541,neuf cent trente neuf; sept cent quarante huit,0
542,vingt neuf; cinquante huit,1
543,cent soixante huit; huit cent quarante cinq,1
544,deux cent dix sept; trois cent vingt et un,1
545,deux cent vingt quatre; trois cent soixante huit,1
546,huit cent trente quatre; cent soixante et onze,0
547,quatre cent onze; six cent trente deux,1
548,neuf cent trente sept; cent quarante neuf,0
549,quatre cent douze; quatre cent quarante huit,1
550,trois cent quarante neuf; cinq cent quarante et un,1
551,cinq cent quarante et un; huit cent quarante,1
552,deux cent soixante quinze; huit cent vingt six,1
553,six cent quatre; six cent cinquante sept,1
554,huit cent quarante neuf; vingt trois,0
555,six cent six; cinq cent quatre,0
556,cinq cent quatre vingt quatre; huit cent cinquante sept,1
557,huit cent quarante trois; cent vingt trois,0
558,huit cents; deux cent quatre vingt dix,0
559,quarante six; huit cent sept,1
560,cinq cent sept; six cent soixante deux,1
561,neuf cent neuf; cinq cent soixante dix,0
562,neuf cent soixante seize; trois cent cinquante,0
563,deux cent sept; quatre cent vingt neuf,1
564,sept cent trente huit; six cent soixante deux,0
565,trois cent treize; six cent quatre vingt quatre,1
566,deux cent quarante deux; sept cent trois,1
567,quatre cent vingt deux; sept cent cinquante six,1
568,neuf cent quatre vingt trois; deux cent quatre vingt huit,0
569,cinq cent vingt huit; huit cent quatre vingt six,1
570,cent trente sept; quatre cent quatre vingt quinze,1
571,neuf cent quatre vingt cinq; six cent quarante six,0
572,cent deux; cent quatorze,1
573,soixante dix sept; cinq cent quarante sept,1
574,trois cent soixante deux; cent quatre vingt un,0
575,trois cent dix neuf; neuf cent soixante neuf,1
576,huit cent trente et un; deux cent quarante,0
577,six cent quatre vingt quatre; huit cent trente et un,1
578,cinq cent quarante deux; huit cent vingt sept,1
579,trois cent quarante six; huit cent vingt huit,1
580,huit cent cinquante neuf; trois cent cinq,0
581,neuf cent quatre vingt dix neuf; trente huit,0
582,quatre cents; trois cent quatre vingt dix neuf,0
583,cinq cent soixante treize; quatre vingt deux,0
584,neuf cent vingt neuf; cinq cent quarante cinq,0
585,neuf cent quatre vingt dix; quatre cent soixante sept,0
586,huit cent quarante quatre; cent quatre vingt seize,0
587,trois cent soixante quinze; neuf cent soixante douze,1
588,six cent quatre vingt un; cinq cent quatre,0
589,quatre cent quatre vingt treize; sept cent quarante neuf,1
